Date,Nifty50
2010-07-12,5383.0
2010-07-13,5400.64990234375
2010-07-14,5386.14990234375
2010-07-15,5378.75
2010-07-16,5393.89990234375
2010-07-19,5386.4501953125
2010-07-20,5368.0
2010-07-21,5399.35009765625
2010-07-22,5441.9501953125
2010-07-23,5449.10009765625
2010-07-26,5418.60009765625
2010-07-27,5430.60009765625
2010-07-28,5397.5498046875
2010-07-29,5408.89990234375
2010-07-30,5367.60009765625
2010-08-02,5431.64990234375
2010-08-03,5439.5498046875
2010-08-04,5467.85009765625
2010-08-05,5447.10009765625
2010-08-06,5439.25
2010-08-09,5486.14990234375
2010-08-10,5460.7001953125
2010-08-11,5420.60009765625
2010-08-12,5416.4501953125
2010-08-13,5452.10009765625
2010-08-16,5418.2998046875
2010-08-17,5414.14990234375
2010-08-18,5479.14990234375
2010-08-19,5540.2001953125
2010-08-20,5530.64990234375
2010-08-23,5543.5
2010-08-24,5505.10009765625
2010-08-25,5462.35009765625
2010-08-26,5477.89990234375
2010-08-27,5408.7001953125
2010-08-30,5415.4501953125
2010-08-31,5402.39990234375
2010-09-01,5471.85009765625
2010-09-02,5486.14990234375
2010-09-03,5479.39990234375
2010-09-06,5576.9501953125
2010-09-07,5604.0
2010-09-08,5607.85009765625
2010-09-09,5640.0498046875
2010-09-13,5760.0
2010-09-14,5795.5498046875
2010-09-15,5860.9501953125
2010-09-16,5828.7001953125
2010-09-17,5884.9501953125
2010-09-20,5980.4501953125
2010-09-21,6009.0498046875
2010-09-22,5991.0
2010-09-23,5959.5498046875
2010-09-24,6018.2998046875
2010-09-27,6035.64990234375
2010-09-28,6029.5
2010-09-29,5991.2998046875
2010-09-30,6029.9501953125
2010-10-01,6143.39990234375
2010-10-04,6159.4501953125
2010-10-05,6145.7998046875
2010-10-06,6186.4501953125
2010-10-07,6120.2998046875
2010-10-08,6103.4501953125
2010-10-11,6135.85009765625
2010-10-12,6090.89990234375
2010-10-13,6233.89990234375
2010-10-14,6177.35009765625
2010-10-15,6062.64990234375
2010-10-18,6075.9501953125
2010-10-19,6027.2998046875
2010-10-20,5982.10009765625
2010-10-21,6101.5
2010-10-22,6066.0498046875
2010-10-25,6105.7998046875
2010-10-26,6082.0
2010-10-27,6012.64990234375
2010-10-28,5987.7001953125
2010-10-29,6017.7001953125
2010-11-01,6117.5498046875
2010-11-02,6119.0
2010-11-03,6160.5
2010-11-04,6281.7998046875
2010-11-08,6273.2001953125
2010-11-09,6301.5498046875
2010-11-10,6275.7001953125
2010-11-11,6194.25
2010-11-12,6071.64990234375
2010-11-15,6121.60009765625
2010-11-16,5988.7001953125
2010-11-18,5998.7998046875
2010-11-19,5890.2998046875
2010-11-22,6010.0
2010-11-23,5934.75
2010-11-24,5865.75
2010-11-25,5799.75
2010-11-26,5751.9501953125
2010-11-29,5830.0
2010-11-30,5862.7001953125
2010-12-01,5960.89990234375
2010-12-02,6011.7001953125
2010-12-03,5992.7998046875
2010-12-06,5992.25
2010-12-07,5976.5498046875
2010-12-08,5903.7001953125
2010-12-09,5766.5
2010-12-10,5857.35009765625
2010-12-13,5907.64990234375
2010-12-14,5944.10009765625
2010-12-15,5892.2998046875
2010-12-16,5948.75
2010-12-20,5947.0498046875
2010-12-21,6000.64990234375
2010-12-22,5984.39990234375
2010-12-23,5980.0
2010-12-24,6011.60009765625
2010-12-27,5998.10009765625
2010-12-28,5996.0
2010-12-29,6060.35009765625
2010-12-30,6101.85009765625
2010-12-31,6134.5
2011-01-03,6157.60009765625
2011-01-04,6146.35009765625
2011-01-05,6079.7998046875
2011-01-06,6048.25
2011-01-07,5904.60009765625
2011-01-10,5762.85009765625
2011-01-11,5754.10009765625
2011-01-12,5863.25
2011-01-13,5751.89990234375
2011-01-14,5654.5498046875
2011-01-17,5654.75
2011-01-18,5724.0498046875
2011-01-19,5691.0498046875
2011-01-20,5711.60009765625
2011-01-21,5696.5
2011-01-24,5743.25
2011-01-25,5687.39990234375
2011-01-27,5604.2998046875
2011-01-28,5512.14990234375
2011-01-31,5505.89990234375
2011-02-01,5417.2001953125
2011-02-02,5432.0
2011-02-03,5526.75
2011-02-04,5395.75
2011-02-07,5396.0
2011-02-08,5312.5498046875
2011-02-09,5253.5498046875
2011-02-10,5225.7998046875
2011-02-11,5310.0
2011-02-14,5456.0
2011-02-15,5481.0
2011-02-16,5481.7001953125
2011-02-17,5546.4501953125
2011-02-18,5458.9501953125
2011-02-21,5518.60009765625
2011-02-22,5469.2001953125
2011-02-23,5437.35009765625
2011-02-24,5262.7001953125
2011-02-25,5303.5498046875
2011-02-28,5333.25
2011-03-01,5522.2998046875
2011-03-03,5536.2001953125
2011-03-04,5538.75
2011-03-07,5463.14990234375
2011-03-08,5520.7998046875
2011-03-09,5531.0
2011-03-10,5494.39990234375
2011-03-11,5445.4501953125
2011-03-14,5531.5
2011-03-15,5449.64990234375
2011-03-16,5511.14990234375
2011-03-17,5446.64990234375
2011-03-18,5373.7001953125
2011-03-21,5364.75
2011-03-22,5413.85009765625
2011-03-23,5480.25
2011-03-24,5522.39990234375
2011-03-25,5654.25
2011-03-28,5687.25
2011-03-29,5736.35009765625
2011-03-30,5787.64990234375
2011-03-31,5833.75
2011-04-01,5826.0498046875
2011-04-04,5908.4501953125
2011-04-05,5910.0498046875
2011-04-06,5891.75
2011-04-07,5885.7001953125
2011-04-08,5842.0
2011-04-11,5785.7001953125
2011-04-13,5911.5
2011-04-15,5824.5498046875
2011-04-18,5729.10009765625
2011-04-19,5740.75
2011-04-20,5851.64990234375
2011-04-21,5884.7001953125
2011-04-25,5874.5
2011-04-26,5868.39990234375
2011-04-27,5833.89990234375
2011-04-28,5785.4501953125
2011-04-29,5749.5
2011-05-02,5701.2998046875
2011-05-03,5565.25
2011-05-04,5537.14990234375
2011-05-05,5459.85009765625
2011-05-06,5551.4501953125
2011-05-09,5551.10009765625
2011-05-10,5541.25
2011-05-11,5565.0498046875
2011-05-12,5486.14990234375
2011-05-13,5544.75
2011-05-16,5499.0
2011-05-17,5438.9501953125
2011-05-18,5420.60009765625
2011-05-19,5428.10009765625
2011-05-20,5486.35009765625
2011-05-23,5386.5498046875
2011-05-24,5394.85009765625
2011-05-25,5348.9501953125
2011-05-26,5412.35009765625
2011-05-27,5476.10009765625
2011-05-30,5473.10009765625
2011-06-01,5592.0
2011-06-02,5550.35009765625
2011-06-03,5516.75
2011-06-06,5532.0498046875
2011-06-07,5556.14990234375
2011-06-08,5526.85009765625
2011-06-09,5521.0498046875
2011-06-10,5485.7998046875
2011-06-13,5482.7998046875
2011-06-14,5500.5
2011-06-15,5447.5
2011-06-16,5396.75
2011-06-17,5366.39990234375
2011-06-20,5257.89990234375
2011-06-21,5275.85009765625
2011-06-22,5278.2998046875
2011-06-23,5320.0
2011-06-24,5471.25
2011-06-27,5526.60009765625
2011-06-28,5545.2998046875
2011-06-29,5600.4501953125
2011-06-30,5647.39990234375
2011-07-01,5627.2001953125
2011-07-04,5650.5
2011-07-05,5632.10009765625
2011-07-06,5625.4501953125
2011-07-07,5728.9501953125
2011-07-08,5660.64990234375
2011-07-11,5616.10009765625
2011-07-12,5526.14990234375
2011-07-13,5585.4501953125
2011-07-15,5581.10009765625
2011-07-18,5567.0498046875
2011-07-19,5613.5498046875
2011-07-20,5567.0498046875
2011-07-21,5541.60009765625
2011-07-22,5633.9501953125
2011-07-25,5680.2998046875
2011-07-26,5574.85009765625
2011-07-27,5546.7998046875
2011-07-28,5487.75
2011-07-29,5482.0
2011-08-01,5516.7998046875
2011-08-02,5456.5498046875
2011-08-03,5404.7998046875
2011-08-04,5331.7998046875
2011-08-05,5211.25
2011-08-08,5118.5
2011-08-09,5072.85009765625
2011-08-10,5161.0
2011-08-11,5138.2998046875
2011-08-12,5072.9501953125
2011-08-16,5035.7998046875
2011-08-17,5056.60009765625
