Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2018-07-30 00:00:00,629.159,124573.482,2019-08-05 00:00:00,480.5934143066406,-29415.986,-23.613,TSL hit
2020-04-06 00:00:00,576.42,95685.72,2021-12-13 00:00:00,860.2000122070312,47107.482,49.231,TSL hit
2022-03-07 00:00:00,1043.95,141977.2,,,,,
2012-09-10 00:00:00,179.791,99963.796,2013-07-29 00:00:00,123.188,-31471.268,-31.483,Stop loss hit
2014-04-07 00:00:00,159.235,68471.05,2017-06-19 00:00:00,163.3171997070312,1755.346,2.564,TSL hit
2018-01-08 00:00:00,206.064,70267.824,2018-11-26 00:00:00,172.9757537841797,-11283.092,-16.057,TSL hit
2021-02-22 00:00:00,131.434,58882.432,,,,,
2009-11-30 00:00:00,297.838,99775.73,2010-11-15 00:00:00,298.7626037597656,309.742,0.31,TSL hit
2011-06-27 00:00:00,358.772,100097.388,2016-02-08 00:00:00,937.4551391601562,161452.596,161.296,TSL hit
2016-08-15 00:00:00,1247.338,260693.642,2016-12-19 00:00:00,826.601,-87934.033,-33.731,Stop loss hit
2017-12-18 00:00:00,1057.956,173504.784,2021-05-31 00:00:00,4244.2021484375,522544.368,301.17,Target hit
2021-06-07 00:00:00,4316.804,695005.444,2021-12-20 00:00:00,4447.25,21001.806,3.022,TSL hit
2009-09-14 00:00:00,376.239,99703.335,2010-02-01 00:00:00,272.0978698730469,-27597.399,-27.68,TSL hit
2013-01-14 00:00:00,237.105,72317.025,2013-05-27 00:00:00,175.7306518554688,-18719.176,-25.885,TSL hit
2014-05-19 00:00:00,198.338,53551.26,2014-09-29 00:00:00,138.771,-16083.09,-30.033,Stop loss hit
2016-06-27 00:00:00,144.337,37527.62,2016-11-07 00:00:00,110.980598449707,-8672.664,-23.11,TSL hit
2017-04-17 00:00:00,174.834,28847.61,2018-05-14 00:00:00,191.0882720947266,2681.955,9.297,TSL hit
2019-11-04 00:00:00,199.719,31555.602,2020-03-16 00:00:00,138.182,-9722.846,-30.812,Stop loss hit
2021-01-11 00:00:00,277.641,21655.998000000003,2022-06-13 00:00:00,302.0,1900.002,8.774,TSL hit
2009-06-08 00:00:00,626.349,99589.491,2011-08-15 00:00:00,1283.726440429688,104523.013,104.954,TSL hit
2012-02-27 00:00:00,1524.627,204300.018,2014-05-19 00:00:00,2130.748779296875,81220.318,39.755,TSL hit
2014-08-25 00:00:00,2739.282,284885.32800000004,2015-11-23 00:00:00,2895.484619140625,16245.072,5.702,TSL hit
2018-08-27 00:00:00,2402.078,300259.75,2021-03-15 00:00:00,4178.54638671875,222058.548,73.955,TSL hit
2021-06-07 00:00:00,5330.654,522404.09200000006,2022-01-24 00:00:00,4161.951171875,-114532.877,-21.924,TSL hit
2009-05-25 00:00:00,24.224,99996.672,2010-08-23 00:00:00,107.4555206298828,343579.717,343.591,Target hit
2010-08-30 00:00:00,109.389,443572.395,2013-12-16 00:00:00,448.9450988769531,1376899.981,310.412,Target hit
2014-02-24 00:00:00,454.856,1820333.712,2015-07-06 00:00:00,1853.342651367188,5596743.579,307.457,Target hit
2015-07-13 00:00:00,1883.296,7416419.648,2015-11-09 00:00:00,1394.511108398438,-1924834.903,-25.954,TSL hit
2016-07-25 00:00:00,2015.679,5490709.596,2018-01-22 00:00:00,2388.026123046875,1014273.563,18.473,TSL hit
2019-11-18 00:00:00,2243.524,6506219.6,2020-03-16 00:00:00,1545.935,-2023008.1,-31.093,Stop loss hit
2020-11-09 00:00:00,2524.83,4481573.25,2021-11-22 00:00:00,2433.89990234375,-161400.923,-3.601,TSL hit
2009-05-18 00:00:00,55.324,99970.468,2011-11-14 00:00:00,76.8908920288086,38971.374,38.983,TSL hit
2014-01-13 00:00:00,74.841,138904.89599999998,2015-04-20 00:00:00,80.45984649658203,10428.579,7.508,TSL hit
2016-06-13 00:00:00,86.187,149362.071,2019-07-08 00:00:00,124.6608810424805,66675.236,44.64,TSL hit
2020-12-07 00:00:00,113.701,216031.9,2021-11-22 00:00:00,125.2776412963867,21995.618,10.182,TSL hit
2022-03-28 00:00:00,162.05,238051.45,,,,,
2009-06-01 00:00:00,346.674,99842.112,2010-05-24 00:00:00,258.402099609375,-25422.307,-25.463,TSL hit
2011-10-24 00:00:00,369.389,74247.189,2012-05-28 00:00:00,324.4490356445312,-9032.933,-12.166,TSL hit
2012-07-30 00:00:00,420.505,65178.275,2013-03-25 00:00:00,410.3310852050781,-1576.957,-2.419,TSL hit
2014-05-12 00:00:00,452.432,63792.912,2016-02-22 00:00:00,493.8862915039062,5845.055,9.163,TSL hit
2016-03-28 00:00:00,576.515,69758.315,2018-07-02 00:00:00,965.1640014648438,47026.529,67.414,TSL hit
2020-11-09 00:00:00,836.367,116255.013,2022-02-28 00:00:00,1477.599975585938,89131.384,76.669,TSL hit
2009-07-20 00:00:00,46.146,99998.382,2011-08-08 00:00:00,82.30535125732422,78357.314,78.359,TSL hit
2012-04-23 00:00:00,104.137,178282.544,2015-02-09 00:00:00,424.7681884765625,548920.595,307.894,Target hit
